Name;Context No.;Area No.;C-14 Date;C-14 Uncertainty;EAP;Older than;Site Phase;Long-Lived;Redeposited;Outlier
'1.1.1.1;'1.1.1;'1.1;3200;30;3b;;1;1;0;0
'1.1.2.1;'1.1.2;'1.1;2800;30;2a-3a;'1.1.1;;0;1;0
'1.1.2.2;'1.1.2;'1.1;3000;30;2a;;;1;0;0
'1.1.3.1;'1.1.3;'1.1;2900;30;2;'1.1.2;;1;1;0
'1.1.4.1;'1.1.4;'1.1;2600;30;1;;;0;0;0
'2.2.1.1;'2.2.1;'2.2;2650;30;3d;;;0;1;0
'2.2.1.2;'2.2.1;'2.2;2700;30;3b-c;;;0;0;0
'2.2.1.3;'2.2.1;'2.2;2750;30;3a;;;0;1;0
'2.2.2.1;'2.2.2;'2.2;2800;30;2;;2;1;0;0
'2.2.3.1;'2.2.3;'2.2;2500;30;1;;;0;1;0
